experiment,arm,x,residual_max_ns,residual_mean_ns,converge_rounds
latency,build,10,40743,31677,1.0
latency,build+cal,10,9979,8392,1.0
latency,shared,10,6661,6149,1.0
latency,air,10,6667,6256,1.0
latency,build,50,121018,83598,36.8
latency,build+cal,50,16919,12066,1.0
latency,shared,50,6661,6149,1.0
latency,air,50,6667,6256,1.0
latency,build,200,447743,279836,40.0
latency,build+cal,200,53683,30795,1.0
latency,shared,200,6661,6149,1.0
latency,air,200,6667,6256,1.0
latency,build,1000,46433889,46102884,40.0
latency,build+cal,1000,255312,154883,40.0
latency,shared,1000,6661,6149,1.0
latency,air,1000,6667,6256,1.0
latency,build,5000,232552510,228216801,40.0
latency,build+cal,5000,30583169,29730595,40.0
latency,shared,5000,6661,6149,1.0
latency,air,5000,6667,6256,1.0
hops,air,1,4621,0,0
hops,air,2,4754,0,0
hops,air,3,4835,0,0
hops,air,4,705444,0,0
hops,air,5,1156255,0,0
hops,air,6,2084938,0,0
hops,air,7,3050964,0,0
hops,air,8,2199647,0,0
hops,build+cal,1,9352,0,0
hops,build+cal,2,10919,0,0
hops,build+cal,3,13712,0,0
hops,build+cal,4,714035,0,0
hops,build+cal,5,1163753,0,0
hops,build+cal,6,2091258,0,0
hops,build+cal,7,3057158,0,0
hops,build+cal,8,2204792,0,0
hops,build,1,68336,0,0
hops,build,2,119192,0,0
hops,build,3,164195,0,0
hops,build,4,893009,0,0
hops,build,5,1358492,0,0
hops,build,6,2231705,0,0
hops,build,7,3218814,0,0
hops,build,8,2377335,0,0
nt_hops,air,1,833,0,0
nt_hops,air,2,1000,0,0
nt_hops,air,3,1250,0,0
nt_hops,air,4,1583,0,0
nt_hops,air,5,1750,0,0
nt_hops,air,6,1750,0,0
nt_hops,air,7,1667,0,0
nt_hops,air,8,2000,0,0
nt_hops,shared,1,667,0,0
nt_hops,shared,2,1250,0,0
nt_hops,shared,3,1333,0,0
nt_hops,shared,4,1917,0,0
nt_hops,shared,5,2250,0,0
nt_hops,shared,6,2333,0,0
nt_hops,shared,7,2583,0,0
nt_hops,shared,8,3083,0,0
nt_hops,build+cal,1,4583,0,0
nt_hops,build+cal,2,8083,0,0
nt_hops,build+cal,3,7583,0,0
nt_hops,build+cal,4,11833,0,0
nt_hops,build+cal,5,15750,0,0
nt_hops,build+cal,6,19250,0,0
nt_hops,build+cal,7,15583,0,0
nt_hops,build+cal,8,15500,0,0
nt_hops,build,1,49833,0,0
nt_hops,build,2,100000,0,0
nt_hops,build,3,150083,0,0
nt_hops,build,4,199583,0,0
nt_hops,build,5,249750,0,0
nt_hops,build,6,299583,0,0
nt_hops,build,7,349667,0,0
nt_hops,build,8,399667,0,0
