sweep,arm,x,lat_delivery,lat_p99_us,bulk_delivery,bulk_p99_us
load,contention,0.1,0.9978,999,0.9984,975
load,tdma,0.1,1.0000,112,1.0000,228
load,overlay,0.1,1.0000,112,1.0000,76
load,contention,0.3,0.9957,1310,0.9962,1308
load,tdma,0.3,1.0000,112,1.0000,228
load,overlay,0.3,1.0000,112,1.0000,136
load,contention,0.6,0.9947,1377,0.9943,1381
load,tdma,0.6,1.0000,112,1.0000,228
load,overlay,0.6,1.0000,112,1.0000,194
load,contention,0.9,0.9939,1430,0.9943,1448
load,tdma,0.9,1.0000,112,1.0000,228
load,overlay,0.9,1.0000,112,1.0000,232
foreign,overlay,0,1.0000,112,1.0000,194
foreign,overlay,0.1,0.9994,939,0.9998,760
foreign,overlay,0.25,0.9985,1451,0.9989,1313
foreign,overlay,0.5,0.9973,1567,0.9971,1583
