part,arm,x,value,detail
A,worst_rate_exists,0,0,straggler_below_mcs0_floor
A,worst_rate_without_straggler,0,6.5,rest_only
B,fec_rate_sweep,0,90.462,N=49
B,fec_rate_sweep,1,74.769,N=81
B,fec_rate_sweep,2,79.385,N=129
B,fec_rate_sweep,3,303.692,N=658
B,rateless_rate_sweep,0,74.781,sym=41
B,rateless_rate_sweep,1,56.805,sym=62
B,rateless_rate_sweep,2,57.919,sym=94
B,rateless_rate_sweep,3,210.989,sym=457
B,rateless_rate_sweep,4,328.205,sym=1067
B,rateless_rate_sweep,5,246.154,sym=1067
B,rateless_rate_sweep,6,218.803,sym=1067
B,rateless_rate_sweep,7,196.923,sym=1067
B,rateless_strong_finish,1,30.452,sooner
C,alarm_serve_all,1,56.805,goodput=1.04
C,bulk_drop_straggler,2,28.132,goodput=2.10
