part,policy,x,value
policy,naive,1,0.0000
policy,naive,2,0.2760
policy,naive,3,0.9014
policy,naive,4,0.9540
policy,optimizer,1,0.0000
policy,optimizer,2,0.4599
policy,optimizer,3,0.7175
policy,optimizer,4,0.9014
policy,optimizer+coop,1,0.4599
policy,optimizer+coop,2,0.7175
policy,optimizer+coop,3,0.9014
policy,optimizer+coop,4,0.9540
diversity,coverage,0.3,0.1656
diversity,diversity,0.3,0.1876
diversity,coverage,0.5,0.2760
diversity,diversity,0.5,0.2760
diversity,coverage,0.7,0.3863
diversity,diversity,0.7,0.3348
diversity,coverage,0.9,0.4967
diversity,diversity,0.9,0.3643
